HGNC_symbol,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
CRIPT,10.1546698,9.809105629,9.471448846,10.0349857,9.872612445,9.279756465
CRISPLD1,6.65898947,8.363122605,6.671805153,6.962464962,9.078104711,6.848243752
CRISPLD2,6.292768387,6.42775076,6.261649895,5.684002536,6.810744174,5.951075045
CRK,11.19630913,11.29997964,10.8155198,10.6110607,10.91323622,10.42223105
CRKL,13.37489739,13.13211844,13.03829903,13.2766787,13.19333954,12.99112376
CRLF1,7.597641793,7.41021808,7.579902538,6.641726071,6.909759323,6.95295225
CRLF2,11.70503782,10.814217,12.20560534,10.1713732,8.824690604,10.50360008
CRLF3,11.84371641,11.52236381,11.34156303,12.52269882,11.96542111,12.02627737
CRLS1,11.81190914,11.14771214,11.33165767,10.35330151,10.3187956,9.971461395
CRMP1,8.363625592,10.33103736,10.24512382,7.441127455,9.638027855,9.125045655
CRNDE,9.142090796,8.811045163,8.460093548,9.908058055,9.611120869,8.834758655
CRNKL1,11.74464495,11.54663366,11.69328768,11.57241286,11.50918996,11.57917327
CROCC,8.571360276,8.717038286,9.044336765,10.71735075,9.875438291,11.29956148
CROCCP2,8.850973389,9.667060142,9.237883118,9.49766915,9.951044459,10.03981499
CROCCP3,6.292768387,6.724790586,6.817639033,7.329153927,7.261098343,7.957427188
CROT,6.960853961,7.455908346,7.157638906,9.254104065,8.868307549,9.836773566
CRPPA,6.702601238,7.282518329,7.216662312,7.160913762,7.729483838,7.395772412
CRTAM,13.62758656,13.46803983,12.56110438,7.205357517,8.710930478,6.247764386
