,ensembl_gene_id,ensembl_transcript_id,hgnc_symbol
91277,ENSG00000025434,ENST00000495866,NR1H3
147623,ENSG00000025708,ENST00000651490,TYMP
147574,ENSG00000025770,ENST00000420993,NCAPH2
151554,ENSG00000025772,ENST00000372813,TOMM34
55161,ENSG00000025796,ENST00000369002,SEC63
12401,ENSG00000025800,ENST00000373625,KPNA6
86333,ENSG00000026025,ENST00000544301,VIM
150953,ENSG00000026036,ENST00000492259,RTEL1-TNFRSF6B
87537,ENSG00000026103,ENST00000688239,FAS
47773,ENSG00000026297,ENST00000508775,RNASET2
89218,ENSG00000026508,ENST00000526025,CD44
145513,ENSG00000026559,ENST00000371571,KCNG1
39861,ENSG00000026652,ENST00000320285,AGPAT4
4191,ENSG00000026751,ENST00000488819,SLAMF7
47057,ENSG00000026950,ENST00000476549,BTN3A1
104568,ENSG00000027001,ENST00000464194,MIPEP
117487,ENSG00000027075,ENST00000555185,PRKCH
7790,ENSG00000027644,ENST00000368195,INSRR
54775,ENSG00000027697,ENST00000458076,IFNGR1
51512,ENSG00000027847,ENST00000502420,B4GALT7
12202,ENSG00000027869,ENST00000368198,SH2D2A
6440,ENSG00000028116,ENST00000648897,VRK2
899,ENSG00000028137,ENST00000376259,TNFRSF1B
125556,ENSG00000028203,ENST00000549589,VEZT
158939,ENSG00000028277,ENST00000692977,POU2F2
48862,ENSG00000028310,ENST00000493082,BRD9
112698,ENSG00000028528,ENST00000560829,SNX1
40489,ENSG00000028839,ENST00000416965,TBPL1
126341,ENSG00000029153,ENST00000266503,ARNTL2
37959,ENSG00000029363,ENST00000640069,BCLAF1
118375,ENSG00000029364,ENST00000556125,SLC39A9
74912,ENSG00000029534,ENST00000347528,ANK1
42233,ENSG00000029639,ENST00000367166,TFB1M
126575,ENSG00000029725,ENST00000575991,RABEP1
70919,ENSG00000029993,ENST00000419110,HMGB3
90088,ENSG00000030066,ENST00000694866,NUP160
51028,ENSG00000030110,ENST00000374467,BAK1
12683,ENSG00000030419,ENST00000342002,IKZF2
156452,ENSG00000030582,ENST00000588170,GRN
50269,ENSG00000031003,ENST00000033079,FAM13B
2713,ENSG00000031081,ENST00000264245,ARHGAP31
36642,ENSG00000031691,ENST00000335783,CENPQ
19800,ENSG00000031698,ENST00000234677,SARS1
142535,ENSG00000031823,ENST00000439268,RANBP3
109818,ENSG00000032219,ENST00000348476,ARID4A
6549,ENSG00000032389,ENST00000478754,EIPR1
153589,ENSG00000032444,ENST00000221249,PNPLA6
105617,ENSG00000032742,ENST00000351808,IFT88
121652,ENSG00000033011,ENST00000632058,ALG1
119170,ENSG00000033030,ENST00000672018,ZCCHC8
45494,ENSG00000033050,ENST00000287844,ABCF2
55686,ENSG00000033100,ENST00000035307,CHPF2
6008,ENSG00000033122,ENST00000651989,LRRC7
105801,ENSG00000033170,ENST00000360689,FUT8
38887,ENSG00000033178,ENST00000322244,UBA6
90189,ENSG00000033327,ENST00000361507,GAB2
155153,ENSG00000033627,ENST00000393829,ATP6V0A1
113399,ENSG00000033800,ENST00000249636,PIAS1
14178,ENSG00000033867,ENST00000425128,SLC4A7
116447,ENSG00000034053,ENST00000561069,APBA2
147315,ENSG00000034152,ENST00000395491,MAP2K3
1184,ENSG00000034510,ENST00000233143,TMSB10
6083,ENSG00000034533,ENST00000514044,ASTE1
73198,ENSG00000034677,ENST00000519449,RNF19A
37876,ENSG00000034693,ENST00000367592,PEX3
115190,ENSG00000034713,ENST00000565057,GABARAPL2
67,ENSG00000035115,ENST00000460974,SH3YL1
7370,ENSG00000035141,ENST00000037869,FAM136A
74124,ENSG00000035403,ENST00000623461,VCL
36427,ENSG00000035499,ENST00000265036,DEPDC1B
121412,ENSG00000035664,ENST00000261891,DAPK2
71386,ENSG00000035681,ENST00000038176,NSMAF
4890,ENSG00000035687,ENST00000366535,ADSS2
38079,ENSG00000035720,ENST00000265404,STAP1
158804,ENSG00000035862,ENST00000585421,TIMP2
52327,ENSG00000035928,ENST00000349703,RFC1
1530,ENSG00000036054,ENST00000485687,TBC1D23
14452,ENSG00000036257,ENST00000264414,CUL3
80706,ENSG00000036448,ENST00000262113,MYOM2
2427,ENSG00000036549,ENST00000481346,ZZZ3
89739,ENSG00000036672,ENST00000260187,USP2
13921,ENSG00000036828,ENST00000639785,CASR
154312,ENSG00000037042,ENST00000251412,TUBG2
50039,ENSG00000037241,ENST00000519974,RPL26L1
39249,ENSG00000037280,ENST00000261937,FLT4
42279,ENSG00000037474,ENST00000264670,NSUN2
362,ENSG00000037637,ENST00000375592,FBXO42
46295,ENSG00000037749,ENST00000439768,MFAP3
155514,ENSG00000037757,ENST00000040663,MRI1
115474,ENSG00000037897,ENST00000324871,METTL1
42350,ENSG00000038002,ENST00000264595,AGA
48222,ENSG00000038210,ENST00000512921,PI4K2B
56392,ENSG00000038219,ENST00000040738,BOD1L1
50709,ENSG00000038274,ENST00000280969,MAT2B
41955,ENSG00000038295,ENST00000061240,TLL1
124321,ENSG00000038358,ENST00000572221,EDC4
52887,ENSG00000038382,ENST00000698541,TRIO
36468,ENSG00000038427,ENST00000265077,VCAN
125928,ENSG00000038532,ENST00000703130,CLEC16A
69989,ENSG00000038945,ENST00000262101,MSR1
120449,ENSG00000039068,ENST00000261769,CDH1
36456,ENSG00000039123,ENST00000230640,MTREX
40069,ENSG00000039319,ENST00000338008,ZFYVE16
124161,ENSG00000039523,ENST00000562116,RIPOR1
36323,ENSG00000039560,ENST00000265109,RAI14
40162,ENSG00000039600,ENST00000311371,SOX30
152109,ENSG00000039650,ENST00000596624,PNKP
153845,ENSG00000039987,ENST00000549706,BEST2
121465,ENSG00000040199,ENST00000568004,PHLPP2
50871,ENSG00000040275,ENST00000506574,SPDL1
71119,ENSG00000040341,ENST00000522695,STAU2
18660,ENSG00000040487,ENST00000375153,SLC66A1
125423,ENSG00000040531,ENST00000673965,CTNS
144059,ENSG00000040608,ENST00000416372,RTN4R
