,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
ENSG00000222881,6.058513389,6.212790155,5.684002536,6.27712853,6.225570687,5.872985945
ENSG00000141753,6.976937352,6.742434788,7.305162156,6.715453324,6.825527417,6.776548116
ENSG00000131746,6.589028203,6.742434788,6.610175878,6.243638289,7.059648282,6.061164679
ENSG00000266088,6.058513389,5.967778528,5.889425093,6.080957172,6.225570687,5.684002536
ENSG00000126353,7.500925756,9.436034553,9.774059951,6.732952317,8.888208713,8.88475051
ENSG00000073584,11.61066056,11.70639522,11.843924,11.92542161,11.78498907,11.93057632
ENSG00000278834,8.149596709,7.812258079,8.113952807,8.120986087,8.071001277,8.025302191
ENSG00000186395,11.88373368,11.43405001,11.40294979,10.9609339,11.31369674,10.7157174
ENSG00000167920,9.180440004,8.920348279,9.029861712,8.750159703,8.739462815,8.871040994
ENSG00000108244,5.684002536,6.42775076,5.684002536,5.88294886,6.190960507,5.684002536
ENSG00000128422,6.538771651,7.934735815,6.141806269,6.766961136,9.009847984,6.105385029
ENSG00000278954,6.538771651,5.884823932,6.359695104,5.965133095,5.684002536,6.181888762
ENSG00000173812,16.1073454,15.40582781,16.25438718,14.83161303,14.66615929,14.47170068
ENSG00000173805,7.008371982,6.809784147,7.746587551,6.602302164,6.512108865,8.169925437
ENSG00000173801,8.041687097,9.200236654,8.096952847,10.31604955,10.70631004,10.49124098
ENSG00000141696,9.902545583,9.162757219,9.55230573,10.59102967,9.685543324,10.37206837
ENSG00000141756,7.111567143,6.54713893,6.817639033,7.768128535,6.825527417,7.602520869
ENSG00000141698,11.94281611,11.3327314,11.27805245,11.18752469,10.73065267,10.66868404
